sample	CN_call	Prop	WGD
PC001-LI_1_R1	0	0.699816104801769	Diploid
PC001-LI_1_R1	4	0	Diploid
PC001-LI_1_R1	-5	0	Diploid
PC001-LI_1_R1	5	0.00264879412683011	Diploid
PC001-LI_1_R1	-4	0	Diploid
PC001-LI_1_R1	3	0.000628572912301471	Diploid
PC001-LI_1_R1	-3	0	Diploid
PC001-LI_1_R1	-2	0	Diploid
PC001-LI_1_R1	-1	0.0853013794267758	Diploid
PC001-LI_1_R1	2	0.122049656269182	Diploid
PC001-LI_1_R1	1	0.0895554924631412	Diploid
PC001-LI_1_R1	-6	0	Diploid
PC001-LI_3_R1	0	0.704886332962108	Diploid
PC001-LI_3_R1	3	0	Diploid
PC001-LI_3_R1	-4	0	Diploid
PC001-LI_3_R1	2	0.0480978472072848	Diploid
PC001-LI_3_R1	4	0	Diploid
PC001-LI_3_R1	5	0.00371635991561637	Diploid
PC001-LI_3_R1	1	0.14384333012111	Diploid
PC001-LI_3_R1	-6	0	Diploid
PC001-LI_3_R1	-2	0	Diploid
PC001-LI_3_R1	-5	0	Diploid
PC001-LI_3_R1	-3	0	Diploid
PC001-LI_3_R1	-1	0.0994561297938806	Diploid
PC001-LNa_1_R1	-6	0	Diploid
PC001-LNa_1_R1	2	0.128476416869222	Diploid
PC001-LNa_1_R1	-3	0	Diploid
PC001-LNa_1_R1	3	0	Diploid
PC001-LNa_1_R1	5	0.00273035084401931	Diploid
PC001-LNa_1_R1	1	0.0869602041467993	Diploid
PC001-LNa_1_R1	-1	0.0860429257646943	Diploid
PC001-LNa_1_R1	-4	0	Diploid
PC001-LNa_1_R1	4	0	Diploid
PC001-LNa_1_R1	-5	0	Diploid
PC001-LNa_1_R1	0	0.695790102375265	Diploid
PC001-LNa_1_R1	-2	0	Diploid
PC001-LN_1_R1	0	0.427990424819271	WGD
PC001-LN_1_R1	5	0	WGD
PC001-LN_1_R1	3	0.00597020480930054	WGD
PC001-LN_1_R1	-3	0.00340817470894609	WGD
PC001-LN_1_R1	4	0	WGD
PC001-LN_1_R1	2	0.120653516662866	WGD
PC001-LN_1_R1	1	0.132534158089038	WGD
PC001-LN_1_R1	-6	0	WGD
PC001-LN_1_R1	-1	0.160251978082012	WGD
PC001-LN_1_R1	-2	0.149191542828566	WGD
