Sample	Patient	KIT_total_CN	KIT_TPM
CRUKP2986_ST_5_R2	Other	2.0208	1.155652
CRUKP2986_ST_9_R1	Other	1.9754	1.316129
CRUKP2986_ST_5_R4	Other	2.0127	2.06262
CRUKP2986_ST_5_R1	Other	1.9947	2.246615
CRUKP2986_ST_1_R1	Other	1.9486	3.880066
CRUKP2986_ST_1_R5	Other	2.0296	4.51433
CRUKP2986_SC_1_R1	Other	1.9054	4.59358
CRUKP2986_LI_3_R1	Other	2.1123	4.856549
CRUKP2986_LN_2_R1	Other	1.8394	4.98182
CRUKP2986_ST_1_R3	Other	1.9986	5.091039
CRUKP2986_LN_1_R3	Other	1.9542	6.072752
CRUKP2986_LN_6_R1	Other	1.8543	7.977423
CRUKP2986_LN_1_R1	Other	3.2788	8.733668
CRUKP2986_ST_2_R2	Other	1.9163	10.239906
CRUKP2986_PV_1_R1	Other	1.9179	11.685684
CRUKP2986_PV_1_R2	Other	1.9327	14.79333
CRUKP2986_ST_4_R1	Other	1.8761	20.718956
CRUKP2986_LN_7_R1	Other	1.9	22.473891
CRUKP1842_LU_1_R2	Other	3.01005	6.596223
CRUKP1842_BR_8_R1	Other	1.8595	18.084689
CRUKP1842_BR_7_R1	Other	2.80515	22.737074
CRUKP1842_BR_12_R1	Other	2.82075	25.675034
CRUKP1842_BR_13_R1	Other	2.78985	37.852543
CRUKP1842_BR_4_R1	Other	2.68005	44.421937
CRUKP1842_BR_5_R1	Other	2.72175	57.0623
CRUKP2567_LU_7_R1	Other	2.3088	0.051292
CRUKP2567_LN_4_R3	Other	1.70505	0.099899
CRUKP2567_LN_1_R3	Other	1.8717	0.110026
CRUKP2567_DI_2_R2	Other	2.12145	0.13738
CRUKP2567_LU_9_R1	Other	2.1135	0.173033
CRUKP2567_LN_2_R1	Other	2.0934	0.284097
CRUKP2567_LU_1_R1	Other	2.0409	0.392059
CRUKP2567_LU_9_R2	Other	2.05965	0.535169
CRUKP2567_PC_1_R1	Other	2.9098	0.559223
CRUKP2567_BR_1_R1	Other	1.9591	41.263347
CRUKP9097_SC_1_R1	Other	1.9894	0.214029
CRUKP9097_PC_1_R1	Other	2.0028	0.731452
CRUKP9097_LMS_1_R1	Other	2.0689	0.757712
CRUKP9097_LMS_2_R2	Other	2.0427	1.072889
CRUKP9097_BR_11_R1	Other	1.9475	1.665896
CRUKP9097_LU_5_R1	Other	2.102	2.246759
CRUKP9097_BR_8_R1	Other	1.6833	5.521597
CRUKP9097_LU_2_R1	Other	1.9612	5.990459
CRUKP9097_BR_13_R1	Other	1.9618	15.895626
CRUKP9097_BR_3_R2	Other	2.0823	16.130984
CRUKP6216_LI_2_R1	Other	3.0387	26.694545
