chr	start	end	event	Type
1	120229720	120523901	Gain_1p12	driverGain
1	245126660	247471120	Gain_1q44	driverGain
1	120523956	176036350	Gain_1q21.3	driverGain
3	69742923	70094803	Gain_3p13	driverGain
4	55473468	55777729	Gain_4q12	driverGain
5	1288616	1300024	Gain_5p15.33	driverGain
5	175337387	180915260	Gain_5q35.3	driverGain
6	1977444	14532705	Gain_6p24.3	driverGain
6	63915276	66019907	Gain_6q12	driverGain
7	136467935	142508606	Gain_7q34	driverGain
7	1	8532843	Gain_7p22.1	driverGain
8	115168887	146364022	Gain_8q24.21	driverGain
11	69399650	69464717	Gain_11q13.3	driverGain
12	58135797	58215836	Gain_12q14.1	driverGain
12	69127775	69670720	Gain_12q15	driverGain
13	90214960	91307433	Gain_13q31.3	driverGain
15	82580737	102531392	Gain_15q26.2	driverGain
17	67159433	81195210	Gain_17q25.3	driverGain
20	54375868	63025520	Gain_20q13.33	driverGain
22	41468899	41849552	Gain_22q13.2	driverGain
23	30870233	32665140	Loss_Xp21.1	driverLoss
1	1	6847369	Loss_1p36.31	driverLoss
1	82457075	119426205	Loss_1p22.1	driverLoss
2	239359581	242296448	Loss_2q37.3	driverLoss
3	116297365	118620828	Loss_3q13.31	driverLoss
3	1	62385826	Loss_3p25.1	driverLoss
4	179280062	182757119	Loss_4q34.3	driverLoss
4	1	6275649	Loss_4p16.3	driverLoss
5	135732466	166712758	Loss_5q31.3	driverLoss
5	58151172	59818245	Loss_5q12.1	driverLoss
5	1	29949316	Loss_5p15.31	driverLoss
6	161693099	163153207	Loss_6q26	driverLoss
6	67919847	171115067	Loss_6q21	driverLoss
8	1	2793575	Loss_8p23.3	driverLoss
9	21959052	22003135	Loss_9p21.3	driverLoss
9	7887952	12687261	Loss_9p23	driverLoss
10	89617158	89755074	Loss_10q23.31	driverLoss
10	1	688423	Loss_10p15.3	driverLoss
10	134944852	135093385	Loss_10q26.3	driverLoss
10	48433736	58123241	Loss_10q21.1	driverLoss
11	113343413	117301939	Loss_11q23.3	driverLoss
11	2320967	2406244	Loss_11p15.5	driverLoss
12	76427480	133851895	Loss_12q23.3	driverLoss
13	95861243	115169878	Loss_13q34	driverLoss
14	66963153	67658112	Loss_14q23.3	driverLoss
14	71578164	107349540	Loss_14q32.31	driverLoss
15	44702831	45026122	Loss_15q21.1	driverLoss
15	28560817	33605300	Loss_15q13.3	driverLoss
16	5144019	7780235	Loss_16p13.3	driverLoss
16	81745039	90354753	Loss_16q24.3	driverLoss
16	78098006	90354753	Loss_16q23.1	driverLoss
16	31804435	64977852	Loss_16q12.1	driverLoss
17	1	1826620	Loss_17p13.3	driverLoss
19	1	2166394	Loss_19p13.3	driverLoss
1	115247090	115259515	NRAS	driverGeneCNGain
2	198254508	198299815	SF3B1	driverGeneCNGain
2	212240446	213403565	ERBB4	driverGeneCNGain
3	41236328	41301587	CTNNB1	driverGeneCNGain
3	69788586	70017488	MITF	driverGeneCNGain
3	178865902	178957881	PIK3CA	driverGeneCNGain
4	55524085	55606881	KIT	driverGeneCNGain
6	136878185	137113656	MAP3K5	driverGeneCNGain
7	140419127	140624564	BRAF	driverGeneCNGain
7	55086714	55324313	EGFR	driverGeneCNGain
7	116312444	116438440	MET	driverGeneCNGain
7	6414154	6443608	RAC1	driverGeneCNGain
7	98475556	98610866	TRRAP	driverGeneCNGain
7	86273230	86494200	GRM3	driverGeneCNGain
8	68864353	69149265	PREX2	driverGeneCNGain
8	128747680	128753674	MYC	driverGeneCNGain
9	80331003	80646374	GNAQ	driverGeneCNGain
11	69455855	69469242	CCND1	driverGeneCNGain
11	532242	537287	HRAS	driverGeneCNGain
12	25357723	25403870	KRAS	driverGeneCNGain
12	69201956	69239214	MDM2	driverGeneCNGain
12	70910630	71031220	PTPRB	driverGeneCNGain
14	71189243	71276251	MAP3K9	driverGeneCNGain
15	66679155	66784650	MAP2K1	driverGeneCNGain
16	30125426	30134827	MAPK3	driverGeneCNGain
19	3094408	3124002	GNA11	driverGeneCNGain
19	4090319	4124126	MAP2K2	driverGeneCNGain
22	22108789	22221970	MAPK1	driverGeneCNGain
5	1293632	1296315	TERT.pr	driverGeneCNGain
4	55095264	55164414	PDGFRA	driverGeneCNGain
4	55944426	55991762	KDR	driverGeneCNGain
12	58141510	58149796	CDK4	driverGeneCNGain
1	120454176	120612317	NOTCH2	driverGeneCNGain
1	28218035	28241257	RPA2	driverGeneCNLoss
1	27022524	27108595	ARID1A	driverGeneCNLoss
1	65298912	65432187	JAK1	driverGeneCNLoss
2	47630108	47789450	MSH2	driverGeneCNLoss
2	47922669	48037240	MSH6	driverGeneCNLoss
2	212240446	213403565	ERBB4	driverGeneCNLoss
3	37034823	37107380	MLH1	driverGeneCNLoss
3	52435029	52444366	BAP1	driverGeneCNLoss
4	126237554	126414087	FAT4	driverGeneCNLoss
5	131891711	131980313	RAD50	driverGeneCNLoss
5	1253262	1295184	TERT	driverGeneCNLoss
6	157099063	157531913	ARID1B	driverGeneCNLoss
6	128289924	128841870	PTPRK	driverGeneCNLoss
7	7676149	7758238	RPA3	driverGeneCNLoss
7	6012870	6048756	PMS2	driverGeneCNLoss
8	90945564	91015456	NBN	driverGeneCNLoss
9	21967751	21995300	CDKN2A	driverGeneCNLoss
9	4985033	5128183	JAK2	driverGeneCNLoss
9	8314246	10612723	PTPRD	driverGeneCNLoss
9	93564069	93660831	SYK	driverGeneCNLoss
10	89622870	89731687	PTEN	driverGeneCNLoss
11	94152895	94227074	MRE11A	driverGeneCNLoss
11	118964564	118966177	H2AFX	driverGeneCNLoss
11	108093211	108239829	ATM	driverGeneCNLoss
11	125495036	125546150	CHEK1	driverGeneCNLoss
12	1021243	1099219	RAD52	driverGeneCNLoss
12	46123448	46301823	ARID2	driverGeneCNLoss
12	133200348	133263951	POLE	driverGeneCNLoss
13	32889611	32973805	BRCA2	driverGeneCNLoss
13	48877887	49056122	RB1	driverGeneCNLoss
15	40986972	41024354	RAD51	driverGeneCNLoss
15	45003675	45011075	B2M	driverGeneCNLoss
16	23614488	23652631	PALB2	driverGeneCNLoss
17	41196312	41277500	BRCA1	driverGeneCNLoss
17	1732996	1803376	RPA1	driverGeneCNLoss
17	29421945	29709134	NF1	driverGeneCNLoss
17	7565097	7590856	TP53	driverGeneCNLoss
19	1189406	1228428	STK11	driverGeneCNLoss
20	40701392	41818610	PTPRT	driverGeneCNLoss
22	29083731	29138410	CHEK2	driverGeneCNLoss
5	1293632	1296315	TERT.pr	driverGeneCNLoss
11	69455855	69469242	CCND1	driverGeneCNLoss
11	532242	537287	HRAS	driverGeneCNLoss
4	55095264	55164414	PDGFRA	driverGeneCNLoss
